学号,姓名,班级,数学,语文,英语,物理,化学,生物,政治,历史,地理
STU0001,学生1,班级C,83.7,88.3,71.9,65.6,52.4,91.5,92.7,61.5,59.4
STU0002,学生2,班级A,73.9,97.4,80.1,69.0,,53.7,90.6,67.0,52.6
STU0003,学生3,班级C,71.8,68.6,82.5,92.4,95.6,77.6,71.2,69.5,35.2
STU0004,学生4,班级C,80.2,81.8,72.5,60.9,96.1,74.7,49.9,76.5,68.5
STU0005,学生5,班级A,82.2,71.1,80.1,74.9,63.4,86.6,96.1,95.9,67.6
STU0006,学生6,班级A,,,88.1,84.7,56.7,84.3,72.6,69.6,83.3
STU0007,学生7,班级C,95.5,100.0,53.4,92.9,84.3,93.3,,87.7,77.6
STU0008,学生8,班级B,56.7,86.0,60.7,86.5,94.0,62.0,77.2,88.2,71.4
STU0009,学生9,班级C,100.0,76.4,,89.7,73.1,86.1,68.2,86.7,61.1
STU0010,学生10,班级C,67.3,84.5,100.0,90.9,75.8,60.6,95.7,79.6,78.9
STU0011,学生11,班级C,96.6,75.1,78.5,77.6,,62.2,48.2,,61.6
STU0012,学生12,班级C,70.0,83.2,55.9,100.0,100.0,75.2,81.6,68.3,
STU0013,学生13,班级A,63.4,99.9,79.8,50.8,80.7,99.8,64.0,,71.4
STU0014,学生14,班级C,100.0,55.6,73.4,,94.8,75.9,100.0,72.0,75.9
STU0015,学生15,班级B,46.5,94.2,85.3,76.1,67.7,78.1,65.7,69.7,80.4
STU0016,学生16,班级A,83.7,83.3,64.3,48.2,56.7,98.3,68.4,75.2,89.0
STU0017,学生17,班级B,,87.8,70.9,65.8,100.0,91.0,93.1,57.1,64.5
STU0018,学生18,班级B,74.9,70.4,87.1,84.2,95.4,68.5,78.1,92.3,67.8
STU0019,学生19,班级B,65.0,95.4,44.4,98.6,70.5,74.9,94.1,86.6,53.3
STU0020,学生20,班级B,62.3,76.0,89.8,82.1,75.8,68.5,100.0,73.3,89.6
STU0021,学生21,班级A,72.6,54.7,46.3,80.4,86.1,97.1,73.9,70.8,79.4
STU0022,学生22,班级A,58.5,79.1,79.2,73.4,74.2,97.7,79.7,70.3,51.0
STU0023,学生23,班级B,54.5,83.0,62.6,70.4,76.7,98.3,90.4,77.5,97.3
STU0024,学生24,班级B,88.2,49.0,96.7,78.0,42.4,89.7,80.0,74.8,86.9
STU0025,学生25,班级A,74.9,81.0,73.2,73.9,58.5,82.3,100.0,70.2,62.8
STU0026,学生26,班级A,66.6,53.5,72.1,73.5,75.6,87.8,65.7,66.8,56.6
STU0027,学生27,班级A,65.6,,87.8,60.2,60.4,76.2,62.8,,59.1
STU0028,学生28,班级C,65.2,78.3,88.7,61.9,75.0,68.4,98.7,95.9,55.4
STU0029,学生29,班级C,75.4,76.9,68.1,65.6,62.6,66.8,37.5,85.3,80.9
STU0030,学生30,班级C,73.7,64.1,67.0,100.0,99.3,66.5,60.0,68.1,70.4
STU0031,学生31,班级B,57.9,79.0,72.8,68.9,66.0,86.4,64.1,100.0,77.5
STU0032,学生32,班级C,76.3,82.3,98.7,66.1,83.8,83.2,90.5,70.9,89.2
STU0033,学生33,班级B,64.9,41.5,51.3,75.2,88.4,76.4,77.5,83.5,82.6
STU0034,学生34,班级B,93.7,67.7,81.1,97.6,81.0,94.3,68.3,89.5,89.6
STU0035,学生35,班级C,50.5,79.2,77.6,87.5,77.7,,100.0,83.9,78.8
STU0036,学生36,班级B,57.9,77.8,76.5,100.0,82.9,,66.3,87.8,40.2
STU0037,学生37,班级C,94.1,62.7,58.1,72.8,87.1,72.6,59.7,82.8,63.0
STU0038,学生38,班级C,72.5,64.8,77.2,73.3,,100.0,58.4,95.8,35.1
STU0039,学生39,班级A,57.3,78.1,72.8,82.9,69.6,74.0,73.7,75.4,76.5
STU0040,学生40,班级C,73.0,69.7,71.6,78.5,78.8,65.1,,50.0,100.0
STU0041,学生41,班级A,56.4,62.8,86.3,53.8,48.7,66.8,89.6,74.5,100.0
STU0042,学生42,班级C,85.1,55.7,,50.6,83.3,,82.9,99.3,98.6
STU0043,学生43,班级C,72.6,87.1,69.8,78.0,52.1,63.0,83.6,48.7,76.4
STU0044,学生44,班级A,,84.1,52.2,49.7,89.8,77.7,70.0,51.6,69.0
STU0045,学生45,班级A,150.0,88.9,55.2,71.6,87.3,84.3,68.2,84.5,
STU0046,学生46,班级C,77.0,81.7,71.8,91.9,73.8,53.9,82.5,59.4,94.2
STU0047,学生47,班级B,81.2,46.1,88.0,79.2,85.7,75.7,93.3,64.7,88.8
STU0048,学生48,班级A,79.7,49.8,48.6,70.5,62.9,46.0,56.9,72.5,62.6
STU0049,学生49,班级B,100.0,65.0,92.5,99.3,67.2,66.0,67.6,72.5,69.4
STU0050,学生50,班级B,57.4,80.2,69.4,100.0,89.1,69.6,83.8,83.2,91.3
STU0051,学生51,班级B,48.8,56.1,62.4,74.9,22.8,61.9,94.9,58.0,78.6
STU0052,学生52,班级A,79.6,81.1,85.7,90.1,98.0,69.4,62.5,81.3,
STU0053,学生53,班级B,87.3,52.7,86.3,54.7,79.0,69.0,93.1,53.4,77.6
STU0054,学生54,班级A,81.1,69.6,77.6,67.8,76.9,,,73.0,44.5
STU0055,学生55,班级B,49.5,68.9,56.6,72.3,91.8,94.7,71.7,57.8,56.6
STU0056,学生56,班级C,99.9,88.5,71.9,76.1,71.6,82.6,74.6,85.6,85.8
STU0057,学生57,班级C,,79.8,93.7,82.4,80.6,63.6,63.9,74.8,65.5
STU0058,学生58,班级A,,72.4,64.7,90.4,58.6,74.6,66.4,100.0,74.7
STU0059,学生59,班级C,61.9,,72.3,64.0,89.8,84.3,79.1,,100.0
STU0060,学生60,班级C,80.4,66.3,91.3,76.7,89.3,81.0,100.0,59.5,67.1
STU0061,学生61,班级B,100.0,73.6,58.1,83.5,91.4,73.3,47.0,61.5,51.6
STU0062,学生62,班级A,100.0,50.5,66.4,83.0,56.2,81.0,64.7,79.9,70.6
STU0063,学生63,班级B,72.6,-10.0,57.7,79.8,87.1,56.3,51.7,70.9,43.6
STU0064,学生64,班级B,78.8,84.7,54.1,87.7,93.3,80.4,94.5,70.1,66.7
STU0065,学生65,班级B,73.0,59.5,66.2,75.1,77.1,81.8,43.5,100.0,60.9
STU0066,学生66,班级B,84.7,79.1,65.2,83.2,61.2,74.5,100.0,68.3,76.0
STU0067,学生67,班级B,58.9,85.0,63.4,79.4,90.1,71.2,83.5,80.3,90.7
STU0068,学生68,班级B,83.5,94.3,71.1,55.8,50.3,51.7,70.4,77.5,64.5
STU0069,学生69,班级B,41.3,64.8,68.2,74.7,96.7,47.6,85.2,83.6,71.2
STU0070,学生70,班级A,80.9,72.2,83.3,61.9,60.2,46.3,81.0,66.0,51.2
